office_title
未详
提举
三司推勘院
催欠司
三司都勾院
三司都理欠司
三司都磨勘司
都水监主簿
三司度支勾院
度支凭由司
度支推官
发运司勾当公事
发运使
尚书省工部尚书
尚书省工部侍郎
总领
三司户部勾院
户部凭由司
尚书省户部尚书
尚书省户部侍郎
户部推官
兼枢密院使
将作监主簿
将作监丞
军器监主簿
三司开拆司
陆路发运使
门下侍郎
三司都凭由司
三司勾当公事
三司使
提举茶场买马
少宰
水路发运使
枢密使
司空平章军国事
司农寺主簿
太府寺主簿
太师平章军国重事
太宰
提举市舶司官
提举在京诸司
提举牧马
同提举茶场买马
同提举在京诸司
同判帐籍司
同判都勾院
同知枢密院事
推勘司
三司衙司
三司盐铁勾院
盐铁凭由司
盐铁推官
右仆射兼门下侍郎
帐籍司
知枢密院事
知某军事
支收司（三司）
制置茶盐
制置茶盐副使
制置茶盐判官
中书侍郎
安抚使
按察使
比部
编修院
兵部
兵部尚书
枢密院兵房副承旨
兵马都监
博士
补阙
参军
参知政事
仓司
漕司
察院
差遣院
朝奉大夫
左朝奉大夫
右朝奉大夫
朝奉郎
左朝奉郎
右朝奉郎
朝请大夫
左朝请大夫
右朝请大夫
朝请郎
左朝请郎
右朝请郎
朝散大夫
左朝散大夫
右朝散大夫
朝散郎
左朝散郎
右朝散郎
朝议大夫
左朝议大夫
右朝议大夫
丞
承奉郎
左承奉郎
右承奉郎
承事郎
左承事郎
右承事郎
承务郎
左承务郎
右承务郎
承直郎
承旨
丞相
崇文院
司天监春官正
春秋博士
刺史
从事郎
从政郎
大夫
大将军
大理寺
大理寺丞
大两省
大使臣
大学士
大宗正寺
待制
登仕郎
登闻鼓院
登闻检院
登闻院
迪功郎
殿侍
殿院
殿直
殿中省丞
殿中省监
殿中省少监
供备库副使
工部
供奉
宫观差遣
宫观使
玉清昭应宫使
景灵宫使
祥源观使
醴泉观使
同醴泉观使
会灵观使
万夀观使
集禧观使
中太乙宫使
佑神观使
神霄玉清万夀宫使
德夀宫使
宫观副使
宫观判官
宫观都监
提举宫观
提举会灵观公事
提举中太一宫兼集禧观公事
提举在外宫观
公事干当官
公相
礼部贡院
勾当公事
勾当...事
鼓司
鼓院
观察使
观察支使
观文殿大学士
观文殿学士
馆阁
光禄寺丞
光禄大夫
左光禄大夫
右光禄大夫
光禄寺卿
光禄寺少卿
光禄寺
匦院
国公
国信使
国子监博士
国子监祭酒
国子监
国子监丞
国子监司业
国子监助教
翰林侍读学士
翰林侍讲学士
翰林学士
翰林学士承旨
翰林院
横行
鸿胪寺丞
鸿胪寺卿
鸿胪寺少卿
鸿胪寺
后苑所、制造御前生活所
户部
户部（三司）
枢密院户房副承旨
护军
环卫官
皇城司
皇城使
给舍
给事郎
员外
三朝郎
门下省给事中
集贤殿
集贤院
计使
伎术官
驾部
监察御史
监军
路监司
监
兼
检院
检校太师
检校太尉
检校太傅
检校太保
检校司徒
检校司空
检校少师
检校少傅
检校少保
检校尚书左仆射
检校尚书右仆射
检校吏部尚书
检校兵部尚书
检校户部尚书
检校刑部尚书
检校礼部尚书
检校工部尚书
检校左散骑常侍
检校右散骑常侍
检校太子宾客
检校国子祭酒
检校水部员外郎
枢密太尉
谏官
谏议大夫
谏院
将军
将仕郎
讲筵官
校理
教授
节度使
节度副使
节度行军司马
防御副使
团练副使
州别驾
州长史
州司马
"州司士参军 (散官)"
"州文学参军 (散官)"
州助教
节度判官
节度掌书记
金紫光禄大夫
左金紫光禄大夫
